Date,APPLE Adj Close, Return (%)
13/10/2011,408.43,1.551505507
14/10/2011,422,3.32247876
17/10/2011,419.99,-0.476303318
18/10/2011,422.24,0.535727041
19/10/2011,398.62,-5.593974991
20/10/2011,395.31,-0.830364758
21/10/2011,392.87,-0.617237105
24/10/2011,405.77,3.283528903
25/10/2011,397.77,-1.971560243
26/10/2011,400.6,0.711466425
27/10/2011,404.69,1.020968547
28/10/2011,404.95,0.064246707
31/10/2011,404.78,-0.041980491
1/11/2011,396.51,-2.043085133
2/11/2011,397.41,0.226980404
3/11/2011,403.07,1.424221836
4/11/2011,400.24,-0.702111296
7/11/2011,399.73,-0.127423546
8/11/2011,406.23,1.626097616
9/11/2011,395.28,-2.695517318
10/11/2011,385.22,-2.54503137
11/11/2011,384.62,-0.155755153
14/11/2011,379.26,-1.393583277
15/11/2011,388.83,2.523334915
16/11/2011,384.77,-1.044158115
17/11/2011,377.41,-1.912831042
18/11/2011,374.94,-0.654460666
21/11/2011,369.01,-1.581586387
22/11/2011,376.51,2.032465245
23/11/2011,366.99,-2.528485299
25/11/2011,363.57,-0.931905502
28/11/2011,376.12,3.451879968
29/11/2011,373.2,-0.776347974
30/11/2011,382.2,2.411575563
1/12/2011,387.93,1.499215071
2/12/2011,389.7,0.456267883
5/12/2011,393.01,0.849371311
6/12/2011,390.95,-0.524159691
7/12/2011,389.09,-0.475764164
8/12/2011,390.66,0.403505616
9/12/2011,393.62,0.757692111
12/12/2011,391.84,-0.452212794
13/12/2011,388.81,-0.773274806
14/12/2011,380.19,-2.217021167
15/12/2011,378.94,-0.328782977
